,Total_Stops,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_hours,Duration_mins,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Vistara,Vistara Premium economy,Chennai,Delhi,Kolkata,Mumbai,Cochin,Delhi,Hyderabad,Kolkata,New Delhi
107,1,6,3,5,45,0,45,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,2,9,3,7,35,21,20,13,45,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
109,1,18,5,6,40,19,0,12,20,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
110,1,6,3,9,0,18,50,9,50,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
111,1,6,3,11,30,1,35,14,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
112,0,9,6,6,55,9,30,2,35,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
113,1,6,6,17,35,22,15,4,40,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114,1,9,5,11,15,18,30,7,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
115,2,15,5,20,15,19,15,23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
116,1,18,3,8,0,18,25,10,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,1,15,4,20,25,1,30,5,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
118,2,6,3,5,40,4,25,22,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
119,1,9,4,10,20,19,0,8,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
120,2,18,5,16,45,20,25,27,40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
121,1,12,3,22,55,10,25,11,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,0,15,5,11,30,14,5,2,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
123,0,9,5,6,0,8,45,2,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
124,1,9,6,15,5,20,20,5,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
125,1,9,5,20,55,12,35,15,40,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
126,0,9,5,14,25,16,55,2,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
127,0,1,4,17,0,19,35,2,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
128,1,18,5,6,50,16,10,9,20,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
129,0,3,5,13,0,15,50,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130,1,6,3,19,45,4,25,8,40,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
131,1,27,6,6,50,12,10,5,20,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
132,1,6,5,21,50,3,35,5,45,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
133,0,24,5,15,15,17,45,2,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,0,1,4,10,0,12,45,2,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
135,1,12,5,8,25,16,20,7,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
136,2,1,4,10,0,5,25,19,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
137,0,18,6,9,30,12,20,2,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
138,0,21,4,19,30,22,15,2,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
139,1,15,3,22,0,10,50,12,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,0,1,3,6,0,8,45,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141,1,24,3,21,10,22,35,25,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
142,1,15,5,2,15,12,35,10,20,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
143,1,12,5,14,5,22,35,8,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
144,0,9,3,8,30,11,30,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,1,27,5,20,40,9,25,12,45,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
146,0,18,5,21,15,0,15,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,0,12,5,14,15,16,45,2,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
148,1,9,6,16,30,4,40,12,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
149,1,15,5,9,45,8,15,22,30,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
150,1,15,5,8,25,16,20,7,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
151,1,3,3,14,35,22,20,7,45,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
152,1,27,5,14,0,21,0,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
153,0,24,5,11,10,14,5,2,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
154,0,1,6,17,10,19,40,2,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
155,0,21,6,21,10,0,5,2,55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
156,0,15,3,17,15,19,55,2,40,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
157,0,15,6,20,0,22,50,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
158,1,12,5,14,5,12,0,21,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
159,0,12,5,19,35,21,5,1,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
160,0,18,5,19,50,22,50,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161,1,27,3,9,0,15,30,6,30,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
162,0,21,5,16,55,19,55,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
163,0,18,6,15,20,17,55,2,35,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
164,0,6,5,9,30,12,20,2,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
165,0,27,5,6,10,8,55,2,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
166,2,27,5,7,5,9,25,26,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
167,0,18,3,22,20,0,40,2,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
168,1,1,5,8,35,17,15,8,40,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
169,0,9,3,14,40,17,5,2,25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
170,2,1,6,20,15,19,15,23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
171,2,24,6,9,40,19,0,9,20,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
172,0,3,3,21,20,0,15,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,0,6,4,1,30,4,15,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
174,2,18,3,8,50,10,35,25,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
175,0,3,5,17,10,19,40,2,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
176,1,6,5,15,5,20,20,5,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
177,2,24,3,9,10,18,30,33,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
178,1,27,3,9,55,1,35,15,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
179,1,18,5,20,0,10,5,14,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
180,1,6,5,9,25,21,50,12,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
181,0,3,5,19,5,20,35,1,30,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
182,0,24,6,22,20,0,40,2,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
183,1,6,3,8,55,20,20,11,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,1,6,5,9,0,19,15,10,15,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
185,1,3,3,6,40,21,55,15,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
186,1,9,6,20,25,10,55,14,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
187,1,3,6,17,30,1,30,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
188,1,21,4,7,55,15,45,7,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
189,0,27,6,22,20,0,40,2,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
190,1,15,5,8,0,21,0,13,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
191,1,6,3,20,55,9,25,12,30,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
192,0,27,5,13,15,14,45,1,30,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
193,1,12,6,10,20,21,0,10,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
194,2,6,6,22,0,19,15,21,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
195,0,21,5,11,35,14,0,2,25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
196,2,6,6,8,20,11,10,26,50,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
197,1,21,5,6,10,23,0,16,50,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
198,0,27,4,6,0,8,45,2,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
199,1,1,4,9,25,18,30,9,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
200,1,21,5,18,15,4,25,10,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
201,1,1,6,2,15,19,0,16,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
202,1,24,3,9,25,7,55,22,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
203,0,21,5,9,45,12,0,2,15,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
204,1,21,3,4,55,16,10,11,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
205,0,9,6,5,55,8,35,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
206,1,21,3,9,0,4,25,19,25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
207,2,12,6,5,30,4,25,22,55,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
208,2,3,3,9,45,21,20,11,35,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
209,1,24,5,17,0,10,45,17,45,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
210,0,15,6,14,10,17,10,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
211,2,15,5,12,0,11,10,23,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
212,1,6,6,9,35,10,55,25,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
213,1,27,4,6,50,12,10,5,20,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
214,2,6,3,17,50,1,35,7,45,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
215,1,1,5,8,25,8,15,23,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
216,1,9,5,16,30,22,35,6,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
217,2,6,6,17,15,7,40,14,25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
218,2,3,6,19,30,12,35,17,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
219,1,6,3,16,0,16,50,24,50,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
220,0,6,4,4,55,7,45,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
221,1,27,6,15,0,1,30,10,30,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
222,1,6,6,18,15,1,30,7,15,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
223,0,18,5,13,15,15,35,2,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
224,0,24,3,9,0,11,30,2,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
225,2,15,6,12,0,7,40,19,40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
226,0,12,3,15,20,17,55,2,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
227,0,1,4,12,0,13,30,1,30,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
228,1,27,4,15,45,22,5,6,20,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
229,1,24,5,17,0,9,45,16,45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
230,2,1,4,7,0,1,20,18,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
231,1,15,5,16,30,19,50,27,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
232,0,21,6,2,55,4,20,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
233,1,1,3,22,50,8,15,9,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
